,documentid,recordtype_x,borough_x,block,lot,easement,partiallot,airrights,subterraneanrights,propertytype,streetnumber,streetname,unit,goodthroughdate_x,recordtype_y,crfn,borough_y,doctype,docdate,docamount,recorded/filed,modifieddate,reelyear,reelnbr,reelpage,%transferred,goodthroughdate_y
0,2015090300204001,L,4,528,50,N,E,N,N,SP,33-43,14TH   STREET,4A,09/30/2015,A,2.01500032724e+12,1,RPTT&RET,08/25/2015,418000,09/16/2015,09/16/2015,0,0,0,100,09/30/2015
1,2011012100554001,L,4,528,50,N,E,N,N,SP,3343,14TH ST,11C,07/31/2015,A,2.0110000453e+12,3,RPTT&RET,01/24/2011,300000,02/08/2011,02/08/2011,0,0,0,100,07/31/2015
2,2013112100798001,L,4,528,50,N,E,N,N,SP,33-55,14TH STREET,10C,07/31/2015,A,2.01300049608e+12,1,RPTT&RET,11/14/2013,325000,12/03/2013,12/03/2013,0,0,0,100,07/31/2015
3,2010090101085001,L,4,528,50,N,E,N,N,SP,33-60,21ST STREET,5D,07/31/2015,A,2.01000030733e+12,1,RPTT&RET,09/01/2010,332500,09/13/2010,09/13/2010,0,0,0,100,07/31/2015
4,FT_4320004196832,L,4,528,50,N,E,N,N,PA,,,,07/31/2015,A,,4,REL,,0,03/22/1994,03/22/1994,1994,3824,166,0,07/31/2015
5,2012072701175001,L,4,528,50,N,E,N,N,SP,33-68,21ST STREET,2B,07/31/2015,A,2.01200031083e+12,1,RPTT&RET,07/17/2012,315000,08/07/2012,08/07/2012,0,0,0,100,07/31/2015
6,2004060301191001,L,4,528,50,N,E,N,N,SP,33-47,14TH STREET,8A,07/31/2015,A,2.00400042037e+12,4,RETT,04/27/2004,0,07/07/2004,07/07/2004,0,0,0,0,07/31/2015
7,2010012600728001,L,4,528,50,N,E,N,N,SP,33-65,14TH ST,12D,07/31/2015,A,2.01000005561e+12,1,RPTT&RET,01/28/2010,325000,02/18/2010,02/18/2010,0,0,0,100,07/31/2015
8,FT_4200002384220,L,4,528,50,N,E,N,N,PA,33-60,14 STREET,,07/31/2015,A,,4,AGMT,,0,10/16/1987,10/16/1987,1987,2474,633,0,07/31/2015
9,2013080100371001,L,4,528,50,N,E,N,N,SP,3343,14TH STREET,6D,07/31/2015,A,2.01300033908e+12,1,RPTT&RET,07/25/2013,298000,08/26/2013,08/26/2013,0,0,0,100,07/31/2015
10,2014101501609001,L,4,528,50,N,E,N,N,SP,3364,21ST STREET,3B,07/31/2015,A,2.01400038244e+12,1,RPTT&RET,10/25/2014,0,11/18/2014,11/18/2014,0,0,0,100,07/31/2015
11,2013022801477001,L,4,528,50,N,E,N,N,SP,33-68,21 STREET,10B,07/31/2015,A,2.01300010685e+12,1,RPTT&RET,02/28/2013,379202,03/18/2013,03/18/2013,0,0,0,100,07/31/2015
12,2005111500243001,L,4,528,50,N,E,N,N,SP,33-65,14 STREET,14A,07/31/2015,A,2.00500065563e+12,1,RPTT&RET,11/10/2005,270000,11/28/2005,11/28/2005,0,0,0,100,07/31/2015
13,2015030600469001,L,4,528,50,N,E,N,N,SP,33-68,21ST STREET,10C,07/31/2015,A,2.01500008841e+12,4,RPTT&RET,03/05/2015,418000,03/16/2015,03/16/2015,0,0,0,100,07/31/2015
14,2011110700905001,L,4,528,50,N,E,N,N,SP,3365,14TH ST,6A,07/31/2015,A,2.01100045024e+12,1,RPTT&RET,11/08/2011,290000,12/29/2011,12/29/2011,0,0,0,100,07/31/2015
15,2007120600707001,L,4,528,50,N,E,N,N,SP,33-55,14TH STREET,2A,07/31/2015,A,2.00700060666e+12,4,RPTT&RET,12/05/2007,314400,12/11/2007,12/11/2007,0,0,0,100,07/31/2015
16,2011051100342001,L,4,528,50,N,E,N,N,SP,33-55,14TH STREET,6D,07/31/2015,A,2.01100017811e+12,1,RPTT&RET,05/04/2011,245000,05/17/2011,05/17/2011,0,0,0,100,07/31/2015
17,2010070600945001,L,4,528,50,N,E,N,N,SP,33-60,21ST STREET,6D,07/31/2015,A,2.0100002276e+12,4,RPTT&RET,06/30/2010,335000,07/09/2010,07/09/2010,0,0,0,100,07/31/2015
18,2013010301805001,L,4,528,50,N,E,N,N,SP,33-60,21ST STREET,12D,07/31/2015,A,2.01300010569e+12,1,RPTT&RET,01/16/2013,375000,03/15/2013,03/15/2013,0,0,0,100,07/31/2015
19,2006011201300001,L,4,528,50,N,E,N,N,SP,33-43,14TH STREET,7C,07/31/2015,A,2.00600004321e+12,4,RPTT&RET,06/21/2004,165000,01/24/2006,01/24/2006,0,0,0,100,07/31/2015
20,2007061901447001,L,4,528,50,N,E,N,N,SP,33-43,14TH STREET,2A,07/31/2015,A,2.00700034331e+12,1,RPTT&RET,06/05/2007,285000,07/05/2007,07/05/2007,0,0,0,100,07/31/2015
21,2006051901682001,L,4,528,50,N,E,N,N,SP,33-64,21 STREET,2B,07/31/2015,A,2.00600029659e+12,1,RPTT&RET,05/19/2006,266000,05/26/2006,05/26/2006,0,0,0,100,07/31/2015
22,2008120301271001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,11D,07/31/2015,A,2.00800046799e+12,4,RPTT&RET,12/02/2008,320000,12/08/2008,12/08/2008,0,0,0,100,07/31/2015
23,2014110300958001,L,4,528,50,N,E,N,N,SP,33-47,14TH STREET,2D,07/31/2015,A,2.01400038323e+12,1,RPTT&RET,09/09/2014,0,11/19/2014,11/19/2014,0,0,0,100,07/31/2015
24,2014022801011001,L,4,528,50,N,E,N,N,SP,33-64,21ST STREET,5C,07/31/2015,A,2.01400008288e+12,1,RPTT&RET,02/06/2014,298000,03/10/2014,03/10/2014,0,0,0,100,07/31/2015
25,2011040601050001,L,4,528,50,N,E,N,N,SP,33-68,21ST STREET,6C,07/31/2015,A,2.01100017128e+12,1,RPTT&RET,04/07/2011,318000,05/12/2011,05/12/2011,0,0,0,100,07/31/2015
26,2007122100640001,L,4,528,50,N,E,N,N,SP,33-65,14TH   STREET,2C,07/31/2015,A,2.0080000434e+12,1,RPTT&RET,12/28/2007,278000,01/31/2008,01/31/2008,0,0,0,100,07/31/2015
27,2008021500280001,L,4,528,50,N,E,N,N,SP,33-47,14TH   STREET,10A,07/31/2015,A,2.00800007287e+12,4,RPTT&RET,02/14/2008,370000,02/21/2008,02/21/2008,0,0,0,100,07/31/2015
28,2009091800092001,L,4,528,50,N,E,N,N,SP,33-60,21ST STREET,9B,07/31/2015,A,2.00900030961e+12,4,RPTT&RET,09/02/2009,325000,09/24/2009,09/24/2009,0,0,0,100,07/31/2015
29,2014030601350001,L,4,528,50,N,P,N,N,SP,33-43,14 STREET,8B,07/31/2015,A,2.01400008994e+12,4,RPTT&RET,03/07/2014,300000,03/14/2014,03/14/2014,0,0,0,100,07/31/2015
30,2013011600680001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,10C,07/31/2015,A,2.01300005007e+12,1,RPTT&RET,01/17/2013,261000,02/05/2013,02/05/2013,0,0,0,100,07/31/2015
31,2008080501247001,L,4,528,50,N,E,N,N,SC,33-43,14TH   STREET,8B,07/31/2015,A,2.00800031316e+12,1,RPTT&RET,04/25/2008,290000,08/06/2008,08/06/2008,0,0,0,100,07/31/2015
32,2005102801447001,L,4,528,50,N,E,N,N,SP,33-60,21ST STREET,14C,07/31/2015,A,2.00500061876e+12,4,RPTT&RET,10/21/2005,270000,11/04/2005,11/04/2005,0,0,0,100,07/31/2015
33,2005051600575001,L,4,528,50,N,E,N,N,SP,33-47,14 STREET,8D,07/31/2015,A,2.00500030765e+12,4,RPTT&RET,05/16/2005,217500,05/26/2005,05/26/2005,0,0,0,100,07/31/2015
34,2012041900096001,L,4,528,50,N,E,N,N,SP,33-64,21ST STREET,12A,07/31/2015,A,2.0120001759e+12,1,RPTT&RET,04/24/2012,265000,05/03/2012,05/03/2012,0,0,0,100,07/31/2015
35,2005021100191001,L,4,528,50,N,P,N,N,SP,33-47,14TH STREET,3A,07/31/2015,A,2.00500013381e+12,4,RPTT&RET,02/10/2005,243000,03/07/2005,03/07/2005,0,0,0,100,07/31/2015
36,2004022300182002,L,4,528,50,N,E,N,N,SP,33-68,21 STREET,4C,07/31/2015,A,2.00400024456e+12,4,RPTT&RET,02/17/2004,0,04/21/2004,04/21/2004,0,0,0,0,07/31/2015
